"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"International Journal of Polymeric Materials and Polymeric Biomaterials";8;"83.0%
27/156
Analytical Chemistry";3478;434;90;0,65;0,524;"Taylor & Francis"
"Archives of Agronomy and Soil Science";5,5;"79.0%
83/406
Agronomy and Crop Science";3478;637;81;0,877;0,631;"Taylor & Francis"
"Drug and Chemical Toxicology";6;"79.0%
138/665
Public Health, Environmental and Occupational Health";3479;583;88;0,718;0,542;"Taylor & Francis"
"Sociological Methods and Research";16,3;"99.0%
7/1466
Sociology and Political Science";3480;213;90;4,56;3,788;"SAGE"
"Translational Pediatrics";4,5;"78.0%
72/330
Pediatrics, Perinatology and Child Health";3481;775;65;0,88;0,573;"AME Publishing Company"
"Geotextiles and Geomembranes";9,5;"91.0%
20/229
Geotechnical Engineering and Engineering Geology";3482;365;93;2,166;1,829;"Elsevier"
"Journal of Applied and Computational Mechanics";6,9;"88.0%
11/89
Computational Mechanics";3483;507;85;1,001;0,468;"Shahid Chamran University of Ahvaz"
"Archives of Osteoporosis";5,5;"81.0%
60/321
Orthopedics and Sports Medicine";3484;629;78;1,067;0,812;"Springer Nature"
"Frontiers in Astronomy and Space Sciences";3,4;"55.0%
41/90
Astronomy and Astrophysics";3484;1036;69;0,728;0,644;"Frontiers Media S.A."
"Scientific World Journal";5,6;"87.0%
82/636
General Medicine";3487;618;74;1,24;0,526;"John Wiley & Sons"
"Plant Pathology";5,6;"89.0%
13/115
Horticulture";3487;627;82;1,087;0,66;"John Wiley & Sons"
"SAGE Open Medicine";3,5;"76.0%
149/636
General Medicine";3487;1001;64;0,813;0,615;"SAGE"
"BioFactors";11,5;"91.0%
11/117
Clinical Biochemistry";3487;303;89;1,032;1,197;"John Wiley & Sons"
"Case Studies on Transport Policy";5;"82.0%
50/279
Urban Studies";3490;697;76;0,875;0,687;"Elsevier"
"Journal of the Pediatric Infectious Diseases Society";6,7;"90.0%
33/330
Pediatrics, Perinatology and Child Health";3492;525;76;0,868;0,918;"Oxford University Press"
"RSC Medicinal Chemistry";5,8;"67.0%
69/211
Organic Chemistry";3494;599;71;0,943;0,85;"Royal Society of Chemistry"
"Phytochemistry Reviews";16,3;"97.0%
12/516
Plant Science";3494;215;93;2,409;1,269;"Springer Nature"
"Numerical Algorithms";4;"78.0%
140/635
Applied Mathematics";3495;868;71;1,363;0,829;"Springer Nature"
"Biology of Sex Differences";12,1;"99.0%
1/213
Gender Studies";3498;288;82;1,709;2,03;"Springer Nature"
"Developmental Biology";5,3;"57.0%
35/82
Developmental Biology";3498;658;82;0,743;1,147;"Elsevier"
"Journal of Geriatric Oncology";5,3;"62.0%
153/404
Oncology";3502;661;73;0,874;1,052;"Elsevier"
"Journal of Pain";6,3;"83.0%
23/136
Anesthesiology and Pain Medicine";3503;558;79;1,344;1,339;"Elsevier"
"Biomedical Journal";11,6;"95.0%
31/636
General Medicine";3503;302;100;1,328;1,143;"Elsevier"
"World Allergy Organization Journal";9,1;"86.0%
22/155
Pulmonary and Respiratory Medicine";3503;384;78;1,716;1,206;"Elsevier"
"Nutrition Journal";9,8;"90.0%
40/398
Medicine (miscellaneous)";3506;356;85;1,551;1,288;"Springer Nature"
"Virologica Sinica";9,3;"85.0%
51/344
Infectious Diseases";3508;376;84;0,878;0,928;"KeAi Communications Co."
"Annual Review of Condensed Matter Physics";47,4;"99.0%
5/463
General Materials Science";3509;74;92;6,546;9,821;"Annual Reviews Inc."
"DNA and Cell Biology";6,6;"69.0%
108/347
Genetics";3510;528;83;0,542;0,694;"Mary Ann Liebert"
"Review of Managerial Science";11,3;"94.0%
13/218
General Business, Management and Accounting";3512;311;91;2,302;1,866;"Springer Nature"
"Journal of European Public Policy";8,8;"98.0%
14/706
Political Science and International Relations";3513;400;93;2,474;1,967;"Taylor & Francis"
"Learning and Instruction";11,3;"97.0%
35/1543
Education";3514;312;88;2,661;2,357;"Elsevier"
"MIS Quarterly: Management Information Systems";13,3;"93.0%
54/817
Computer Science Applications";3514;265;77;2,878;4,105;"Management Information Systems Research Center"
"Geomechanics and Geophysics for Geo-Energy and Geo-Resources";6,4;"85.0%
25/165
Geophysics";3514;552;76;1,068;0,859;"Springer Nature"
"npj Precision Oncology";9,9;"84.0%
62/404
Oncology";3515;355;79;1,357;2,871;"Springer Nature"
"Pediatric Dermatology";3,2;"63.0%
53/142
Dermatology";3515;1097;63;0,868;0,562;"John Wiley & Sons"
"Communications in Statistics - Theory and Methods";2;"51.0%
136/278
Statistics and Probability";3519;1734;57;1,025;0,446;"Taylor & Francis"
"Journal of Voice";4;"90.0%
2/16
LPN and LVN";3519;882;82;1,297;0,578;"Elsevier"
"Amino Acids";6,4;"72.0%
59/211
Organic Chemistry";3520;551;79;0,879;0,731;"Springer Nature"
"Journal of Pediatric Orthopaedics";3,3;"61.0%
126/330
Pediatrics, Perinatology and Child Health";3521;1075;71;1,048;0,699;"Wolters Kluwer Health"
"Journal of Geodesy";8,6;"94.0%
10/165
Geophysics";3523;411;83;2,015;1,376;"Springer Nature"
"Space Weather";5,9;"69.0%
46/148
Atmospheric Science";3523;595;75;1,436;1,164;"John Wiley & Sons"
"Photochemical and Photobiological Sciences";5,6;"64.0%
67/189
Physical and Theoretical Chemistry";3528;634;76;0,789;0,64;"Springer Nature"
"Information Systems";9,4;"84.0%
28/177
Hardware and Architecture";3529;374;86;2,089;1,201;"Elsevier"
"Journal of Functional Analysis";3,2;"77.0%
43/193
Analysis";3530;1105;68;1,857;2,084;"Elsevier"
"Drug Development and Industrial Pharmacy";6,8;"76.0%
44/183
Pharmaceutical Science";3531;522;83;0,684;0,475;"Taylor & Francis"
"Schweizerische Medizinische Wochenschrift";5;"84.0%
101/636
General Medicine";3532;713;67;0,533;0,519;"Schwabe und Co. AG"
"Electronics Letters";2,7;"43.0%
451/797
Electrical and Electronic Engineering";3535;1327;62;0,462;0,323;"John Wiley & Sons"
"Cancer Chemotherapy and Pharmacology";6,1;"73.0%
72/272
Pharmacology (medical)";3535;575;82;0,721;0,869;"Springer Nature"
"Community Mental Health Journal";5,3;"82.0%
66/371
Health (social science)";3537;662;76;1,085;1,037;"Springer Nature"
"Journal of Orthopaedics";3,5;"64.0%
115/321
Orthopedics and Sports Medicine";3537;1014;73;0,829;0,684;"Elsevier"
"Journal of Service Management";19,2;"99.0%
1/189
Business, Management and Accounting (miscellaneous)";3538;184;89;2,147;2,617;"Emerald Publishing"
"Journal of Circuits, Systems and Computers";2,8;"45.0%
431/797
Electrical and Electronic Engineering";3538;1250;64;0,547;0,298;"World Scientific"
"Biofuels, Bioproducts and Biorefining";7,8;"71.0%
78/270
Renewable Energy, Sustainability and the Environment";3539;454;82;0,977;0,748;"John Wiley & Sons"
"Gland Surgery";3,6;"72.0%
153/551
Surgery";3539;977;72;0,775;0,506;"AME Publishing Company"
"BMJ Open Respiratory Research";6,6;"77.0%
35/155
Pulmonary and Respiratory Medicine";3540;533;74;1,116;1,338;"BMJ Publishing Group"
"European Planning Studies";7,2;"89.0%
88/821
Geography, Planning and Development";3540;493;86;1,466;1,019;"Taylor & Francis"
"Veterinary Research";7;"97.0%
6/194
General Veterinary";3541;503;78;1,737;0,907;"Springer Nature"
"Emergent Materials";7,4;"74.0%
33/127
Ceramics and Composites";3541;480;78;1,214;0,817;"Springer Nature"
"Infrared and Laser Engineering";1,8;"36.0%
97/153
Aerospace Engineering";3542;1931;60;0,839;0,279;"Science China Press"
"International Entrepreneurship and Management Journal";12,5;"92.0%
21/289
Management of Technology and Innovation";3545;284;85;2,388;1,763;"Springer Nature"
"Hepatology Research";8,3;"81.0%
16/82
Hepatology";3547;425;85;1,107;1,241;"John Wiley & Sons"
"Journal of Water Resources Planning and Management - ASCE";6,3;"86.0%
108/821
Geography, Planning and Development";3547;562;81;1;0,814;"American Society of Civil Engineers"
"Kybernetes";4,9;"90.0%
58/604
Social Sciences (miscellaneous)";3547;717;82;0,972;0,571;"Emerald Publishing"
"Journal of Fluorescence";4,6;"49.0%
39/76
Spectroscopy";3549;764;78;0,645;0,39;"Springer Nature"
"Human Relations";12,6;"99.0%
3/275
General Social Sciences";3552;282;94;3,007;3,597;"SAGE"
"Journal of Marriage and Family";12,2;"99.0%
1/502
Anthropology";3553;291;87;2,97;2,464;"John Wiley & Sons"
"Aquaculture International";5,1;"78.0%
53/247
Aquatic Science";3555;697;75;0,804;0,585;"Springer Nature"
"International Journal of Computational Intelligence Systems";5,6;"83.0%
31/189
Computational Mathematics";3555;630;75;0,895;0,564;"Springer Nature"
"Western Journal of Emergency Medicine";5,3;"86.0%
15/109
Emergency Medicine";3562;672;66;0,979;0,938;"University of California"
"Platelets";6,7;"77.0%
32/137
Hematology";3563;535;84;0,769;0,816;"Taylor & Francis"
