Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Critical Care Medicine,0.30063726637992977,0.010670581632635217,21.776190476190486,14.886255802226167,0.1378458543137236,39.8897759655974
Royal Society Open Science,1,0.007787474432350298,4.8942486085343235,11.680829397874852,2.0678220048349916,39.71894431326248
Environmental Sciences Europe,1,0.030759320002865527,3.3877551020408174,24.08285714285714,4.7273469387755105,39.677142857142854
Pediatrics,0.3779467933340762,0.020999039426851013,28.372448979591834,15.93548214582219,14.644576780622904,39.5466786350982
European Urology,0.15985888838737253,0.02366840187311672,27.82417582417583,64.90275148747779,1.0038216205429504,39.419897988368696
United European Gastroenterology Journal,0.9853148043108338,0.15406162464985992,23.571428571428573,16.08417295753604,0.654525501543757,39.13931913927857
Anesthesiology,0.64901193811386,0.018934729064039417,8.785714285714285,19.198039460539462,0.14124486624486626,38.95881618381619
Canadian Medical Association Journal,1,0.00845377692937006,4.42857142857143,25.40901360544218,13.075680272108844,38.851190476190474
Zoonoses,1,0.2421875,4.428571428571429,4.738095238095238,1.0100000000000002,38.695238095238096
Trends in Cancer,0.5168380027880326,0.12774031410681613,15.11149825783972,29.28214395230054,0.40239238468101085,38.53455173392219
Molecular Cell,0.9367264744991743,0.035067800418793614,13.728571428571424,67.778080353786,2.1629618204376273,38.5225449751861
Journal of Aerosol Science,0.435797628602043,0.23566837647698566,27.761904761904763,15.991840606608232,0.2603268903335655,38.445066927129695
The Medical Journal of Australia,0.4845816588776416,0.010724529243047762,4.095238095238096,26.496747234247234,13.770298220298224,38.39015752765753
Eurosurveillance,1,0.13400236127508852,32.42857142857144,17.694506612219858,2.636596111398483,38.32177948915805
Journal of Cell Biology,0.9461997998374986,0.024980502863750018,6.857142857142856,26.300659756909752,1.857636113886114,38.148844905094904
Dermatology Online Journal,1,0.10235359476476326,17.552560646900275,6.605092388803299,0.3481132075471698,37.89161397787071
Clinical Infectious Diseases,0.7374257041922979,0.06401314637987805,69.42105263157895,22.84043645602288,1.8401375514147116,37.81388492646489
Echo Research & Practice,1,0.16580310880829016,4.57142857142857,9.847058823529412,0,37.76764705882353
EuroIntervention,0.4259694440156892,0.02966101694915254,7,13.592132505175982,1.1388543823326431,37.73857832988268
Journal of Epidemiology,1,0.06081081081081083,5.142857142857143,14.411061006894338,0.36581088664421996,37.60040885040884
Nature Cell Biology,0.5820268598575739,0.05144320976852257,10.317460317460318,62.14413071496405,3.114672364672365,37.52868504951838
BJPsych Open,1,0.007686494432811095,2.915451895043732,2.8697588126159554,0.4039579468150897,37.489919604205326
Journal of the American Society of Nephrology,0.3691774078276036,0.005620701227598314,12.160714285714283,30.49813914949785,0.7982354903550556,36.903941408832715
Nutrition and Health,0.33542060901958815,0.03233830845771144,1.8571428571428572,4.390000000000001,0.4,36.64
Journal of the Intensive Care Society,1,0.08354430379746836,4.714285714285714,7.573412698412699,0.18055555555555552,36.49325396825397
